Input|Output|Transformation
2FArCGlw1Mjlt;|2FArCGlw1Mjlt;sZdIQ82skr|Combine
esBalsviZig|sBalsv|Extract
miMWE|miMWEEnGz5H#J|Combine
sy6,RymSnZv7I|sy6|First Characters
z9UT2,BSWfU|UT2,BSWfU|Extract
3ulBjl#I|lB|Extract
yvKsNYCV;|yvKsNYCV|Text before Delimiter
EbuWC|HbuWC|Replace
C6ZWPs,0GVtf|s,0GVtf|Last Characters
;.67kzns7|s7|Last Characters
Xh#82B|Xh#82Buv30bZI3UG|Combine
Bfaz;h,Pm|Bfaz;h,P;|Replace
CAO26s|CAO|First Characters
#BAfN8nmylTBOK|O|Keep Characters
b8yvdX4l,||Text after Delimiter
/vPhQuAL|vPhQuAL|Text after Delimiter
7K1aMO#WiBq2|12|Length
.YwvvkkCwn/B|.YwYvkkCwn/B|Replace
lTZUDs8vUI|lTZUDs8vUI|Last Characters
VE3,9sh2lFuoACq|VE3,9sh2lFuoACqefk2Oa0yT|Combine
Gl9mwuwb/RIR|Gl9mwuwb|Text before Delimiter
pic/TH|c|Keep Characters
qUwW;H0;,Yg|fUwW;H0;,Yg|Replace
Cy3pyza6,6M|11|Length
jAUwWGkpbhkruk3|k3|Last Characters
D82hEr|hEr|Last Characters
0dKUHVCu|0dKUHV|First Characters
BVTvB,t1|8|Length
GB#Hg1|GB9Hg1|Replace
UsLKMVmjgRu/EgE|15|Length
iFX.Dh6P0rKEj;Y|iFX.Dh6P0rKEj;Ybzvxx,|Combine
uqj7p#qF|uqj7p#qFPjEvyIRy|Combine
E2MIR9O|7|Length
AcpHYXDpzDp|AcpHYXDpzDpxxPFLOnD|Combine
4y9hl;WmzMbzk|4y9hl;WmzMbzkV8jO;.4i1|Combine
vRESzkz|ESz|Extract
N;4gTWciq.hnZo|N;4gTWciq.hnZoK|Combine
g#in;ZK|g#in;ZP|Replace
/nFj2ch309yq;Be|/nFj2ch309yq;Pe|Replace
vWTeF|vWTZF|Replace
.guPJHKghtL6|.guPJHKghtL6LDe|Combine
U1uLL3CXT|U1uLLKCXT|Replace
2/aucTY6b48|11|Length
twwoRAlpMO|10|Length
7TE.Lt4rb0/|7TE.0t4rb0/|Replace
EyXmN0|XmN0|Last Characters
aq2AJoh|7|Length
aoWq/CAnYof1|12|Length
xz3QI#|z3QI|Remove Characters
xglvkI2|lvkI2|Last Characters
gvtQ2Vf|7|Length
dvE#bOHicayj|dvE#bOHic|First Characters
dUL9dRTG3X|10|Length
mQb;URH9UQL.Nm|mQb;URH9UQL.NmV;|Combine
vtIF1LGxh|vt|First Characters
TN1CVq|Vq|Last Characters
D2oEfOoiL|oEfOoiL|Last Characters
hyJM5X;EcecSG|hyJM5X;EcecSG,dE#|Combine
b,H0yBql;/jm||Text between Delimiters
7XB48#T|XB48#T|Last Characters
bXFqCMK|7|Length
Pa;6j|Pa;|First Characters
.MUwSFyahevka|wSFyahevka|Last Characters
.egCX7sFvyiIIyZ|IyZ|Last Characters
kHP5XzR|7|Length
Zfz/QX0|Zfz|Text before Delimiter
vS,xA1;|vS,xA1I|Replace
pjMw6kVEXNmO|pjMw6kVEX|First Characters
w4H390hFem|w4H390hFem9|Combine
Vz6DM1YqrVg,|M1Y|Extract
Jb74KQe;Hv|Jb74KQe;Hm|Replace
9DH5YNB1M|9DH5YNB1M|Last Characters
XPAETw8p|XPAETw8pcsXj3VgQw|Combine
FTadUQNv/T1|/T1|Last Characters
GdFKb/kI34FvMtB|15|Length
bsTHnktWW|bsT|First Characters
#jW.1tl|#jW.|First Characters
7/ko67wap|9|Length
oCfnCw|6|Length
G1#RD4bnkZ.|G1#RDJbnkZ.|Replace
ar9P5|ar9t5|Replace
X,dXlzT,vOzU|X|Text before Delimiter
yXJips|Jips|Last Characters
mbTiPyvfEFDWsK;|DWsK;|Last Characters
hSjo,UzMprzjWQw|15|Length
zhAPkheNWHOanZl|e|Keep Characters
bR4NFacG|bR4NFa|First Characters
XZyylWk|7|Length
jtpiMuQoxITl|jtpiMuQ|Extract
XLx4F/rjtRpZN|X|Keep Characters
giaRFu#E9bQ|giaRFu#EYbQ|Replace
,Vdvih|,dvih|Remove Characters
Ob/;gTzyVoA5eV8|15|Length
;Qx#w|5|Length
ZLj1OIr241L|r241|Extract
#xh3AJ/|h3AJ/|Last Characters
IN,gZ0UIWIA|IN,gZ|First Characters
6ptXK7eG|6ptXK7e2|Replace
6h5R6eTPBhVTJj8|6h|First Characters
5JAnzTDAV|nzTDAV|Last Characters
;/AtaAN3aT2|;/AtaAN3aT2XV#6Wwe|Combine
uM;emKigoRTjGGV|15|Length
4jqG7p4CV|C|Keep Characters
9b0Ja|Ja|Last Characters
SbjGYaHq|Sb|Extract
/IbNL0R|/IbNL0RVPI|Combine
fgHymH67Xvp4|fgHymHI7Xvp4|Replace
agh8RfKr9bW;M0m|;M0m|Last Characters
TugS/Ep1vdd|11|Length
qJ4R/M2Acc1l#|l|Keep Characters
5u;tzN.2H.gq|.2H.g|Extract
3k;iljERs|9|Length
JEeKPqpaJ4iV|JEeKPqaJ4iV|Remove Characters
KBrfMo9Mx8|10|Length
Yjd/;qj|jdj|Keep Characters
mv#P/rHIuYob|mp#P/rHIuYob|Replace
V8.;qYfjXC|V8.;|Extract
Bv1xH5T4z|Bv1xH5T4zB|Combine
F#5,c;ZRi|i|Last Characters
iR,PqXOXu7;q|iR,PqXOXu7|Text before Delimiter
Pj7o6l;1.Xx20.b|Pj7|First Characters
tJu9K5OlHdxolEe|tJu9K5OlHdxolEeCyiU0sZ#|Combine
wzRabDKS4Uv|zRabDKS4U|Remove Characters
/xHOIVrEcNjoPo|/|First Characters
p,xbWNH72fN9O|p,x5WNH72fN9O|Replace
wIm16;ay9.Y9|wIm1|First Characters
AtNB5N5F|AtNB5N5|First Characters
6reR/4uzU|6reR/4uzUD.|Combine
AMmo753V6A|o753V6A|Last Characters
hTwuj|5|Length
##eYNTS0Ra5Vix2|##eYNTS0Ra5Vix2jLk6c|Combine
VuF#jUSQy|VuF#jUSQyRpbpaXM0|Combine
pdPWR,jd7#C#SK.|jd7#C#SK.|Last Characters
P9#qT|P9#qTTOzlQGz|Combine
hqcjof|hqcjofl69eZ|Combine
jXkICh3VqG|Ch3VqG|Last Characters
4m2O7Q1t|4m2O7Q1|Remove Characters
qLiDa;kcRC1I|qLiDa;kcRC1Im|Combine
JZtHK0|HK0|Extract
/qMqmtXZ#Kp4GhC|/qM|Extract
.elP/3yJ;Pj|.elP/3yJ;Pj.QLR|Combine
QtGjmT/b7DeNrM,|QtGjmT|Text before Delimiter
SACY44yKcH|Y44yKcH|Last Characters
#v;q#a/Kx#AG1|q#a/Kx#AG1|Text after Delimiter
mN6rlunnWb|m;6rlunnWb|Replace
rBXPsTc|rBX|First Characters
migTH,8lz6QL|migTH,8z6QL|Remove Characters
lOGSpwmIrWmKy|13|Length
t55jg/;f|8|Length
CKv6hacV0z7ldD7|CKv6hacV0z7lAD7|Replace
CZk8m#fu|CZk8m#fu#3gXzvNBg|Combine
k8A;RB1|1|Last Characters
212B5fyzSaB2|212B5fyzSaB2yKc|Combine
j2YnwM,RONQ|11|Length
w7vHkvs|kvs|Last Characters
5wbKW6P1Gqb|5wbKW6P1|First Characters
Fy49sv4r|8|Length
Tx9deaK3uKjbY|13|Length
,/UfNP#KNtPQhFh|15|Length
K7dpYiWYL|iWYL|Last Characters
FhbvxuQrPWt|t|Last Characters
9M2pT|9M2pTdX7Emgd8s|Combine
404Z46.l|404Z46.l|Last Characters
ImtmrqzILS3f|z|Keep Characters
hVp1MYrpxOVJ2|hVp1M|First Characters
dkNvW;C4C/6vcr|c|Keep Characters
fsPacH|fsP|First Characters
DXQ3qA.#E|DX|First Characters
r0exT5J|r0exT5JEoE|Combine
QKRImR|6|Length
UrOQB;|Q|Keep Characters
q;K;dS|q;K;dSq|Combine
4LZQYeA2G7tJv19|9|Keep Characters
NGt614vXk|NGt614vXkaDe6gs9|Combine
p;whiH9,|p|Text before Delimiter
Q;dL#658vkq/t|8vkq/t|Last Characters
w.rWB.HJo4|rWB.HJ|Extract
2DpSZfdc|2DpSZfdcNXRCnlg|Combine
lF2poz.zOYGCCtq|15|Length
eocrhmPsZl|hmPsZl|Last Characters
SUyCMb|y|Extract
0HTBIQ9kfBTZ|12|Length
Kve/kIp62E|kIp62E|Last Characters
4b#gq./vaxu|4b#gq./vaxuOBbAaFGRN|Combine
1dHubQ#o|8|Length
6PsxPZ1aVs|6sxZ1aVs|Remove Characters
F3/k9L.opnZs2v5|F3/k9L.opnZs2v5CdrGPktA|Combine
6X13hm4l|6X13hmpl|Replace
C63Qea3DQE|10|Length
hJdyufsE6oCwB0Y|hJdfsE6oCwB0Y|Remove Characters
6fDfA;#HmjH|#HmjH|Last Characters
ONcYw0w#xC5|11|Length
wyfz/,x56|x56|Text after Delimiter
L4NMFNw|L4NM|First Characters
N3MWUj#hBo|N3KWUj#hBo|Replace
zDNGDUl|zN|Keep Characters
